BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
30,LIAN HONG ENGINEERING WORKS. SDN BHD,"Lot 363, Batu 1, Jalan Labis, 83700 Yong Peng, Johor.",BKA654J019J065,5-Jan-24,A,(30)Jld.39,07-4671236,N/A,ARZ CONSULTING ENGINEERS SDN BHD,IR. HJ ABDUL RAHMAN BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Termasuk Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",johor,Laku
31,LIANNEX CORPORATION SDN. BHD.,"No. 23, Jalan Firma 2, Kawasan Perindustrian Tebrau II, 81100 Johor Bahru, Johor Darul Takzim.",BKA654J020J059,1-Nov-22,A,(20)Jld.26,07-3602244,N/A,DESATIC ENGINEERING SERVICE,IR CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",johor,Laku
32,LP JAYA SDN BHD.,"Plo 178, Jalan Angkasa Mas 6,Kawasan Perindustrian Tebrau II,81100 Johor Bahru, Johor",BKA642J021J049,23-Mar-18,A,(24)Jld.149,07-3553433,sptrans@supportrans.com,PERUNDING TIMUR SDN BHD,IR. MOHD NAZARI BIN HJ JAFFAR,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",johor,Tamat
33,MAZS SDN BHD,"Blok A,B,C No 117, Jalan Datin Halimah, Larkin Indus. Estate, 80350 Johor Bahru, Johor",BKA642J022J049,6-Jul-11,A,,,,,,,johor,Tamat
34,MOFAZ MOTOSIKAL SDN. BHD.,"No. 3, Jalan Cecair, Zon Perdagangan Bebas Pasir Gudang, 81707 Pasir Gudang, Johor.",BKA642J023J049,TERBUKA,C,,07-3314236,,,,,johor,Laku
35,MOFAZ MOTOSIKAL SDN. BHD.,No 64 Jalan Riang 21 Taman Perindustrian Gembira 81200 Johor Bahru Johor,BKA654J024J062,2-May-23,C,(22)Jld. 31,07-3312015,mariam.momos@mofaz.com,PERUNDING GAGASAN PRIMA SDN BHD,IR. MOHD NAWI BIN SALLEH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Motosikal Sahaja.",johor,Laku
36,MONZONE MANUFACTURING SDN BHD,"No.7, Jalan Indah Gemilang 1, Taman Perindustrian Gemilang, 81800 Ulu Tiram, Johor",BKA654J025J062,11-Jan-24,A,(20)Jld. 40,07-2512506,tmasb@simedarby.com,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Termasuk Luton/Box, Refrigerated, Dan Van Sahaja.",johor,Laku
37,NIPPON MOTOR ASSEMBLERS SDN BHD,"No 24, Jalan Mega 1, Taman Perindustrian Nusa Cemerlang, 79200 Nusajaya, Gelang Patah, Johor.",BKA642J026J049,24-Sep-19,A,(12)JLD. 155,07-5095555,N/A,TRANSTECH CONSULTING ENGINEERING,IR. SAIFULA AZIZI BIN MOHAMAD SAAD,"AKTIVITI:
1. Pembinaan Motosikal Dan Skuter Bagi (Kapasiti Enjin 125cc Dan Ke Atas) Jenama Nimoto Dan Kerja-Kerja Berkaitan Sahaja.",johor,Tamat
38,OCTOMATIC MOTOR SDN BHD.,"Lot PLO 90, Jalan SR/9, Kawasan Perindustrian Simpang Renggam 2, Mukim Ulu Benut, 86200 Simpang Renggam, Johor.",BKA642J050J051,26-April-19,A,(22)JLD. 3,07-7552888,N/A,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Badan Lori Rigid, Box/Luton Van, Tipper Roll On/Roll Off, Penggerak Utama Dan Jentera Berat Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Smeua Jenis Trailer",johor,Tamat
39,PEMBUAT BADAN-BADAN KENDERAAN KIAN EK SDN. BHD.,"K 89, Kaw. Perind. Tanjung Agas, 84000 Muar, Johor.",BKA654J027J064,26-May-23,A,(14)Jld.39,06-9513520,pbbk@kianek.com.my,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Dan Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",johor,Laku
40,PERNIAGAAN BADAN KENDERAAN PANDAN,"Lot 673, Jalan Idaman 3/3, Senai Industrial Park, Taman Desa Idaman, 81400 Senai, Johor",BKA654J028J058,2-Feb-22,A,(26)Jld.18,07-5908927,pandanbody@gmail.com,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Bas, Lori dan Van Sahaja.",johor,Tamat
41,PLOTO MOVEABLE SDN. BHD.,"Lot PTD 310141, Jalan Parit Sidek Off Bt.3, Jalan Kluang, 83000 Batu Pahat,, Johor.",BKA642J029J049,9-Nov-12,A,(8)Jld. 85,07-4345216,N/A,BC TECH AVENUE,IR.SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Kenderaan Rigid, Box/Luton Van Dan Tanker Sahaja.",johor,Tamat
42,PUBLIC ENGINEERING WORKS SDN BHD.,"Lot 616, Jalan Paloh, Kampung Baru, 86000 Kluang, Johor Darul Takzim.",BKA654J061J066,6-Apr-24,A,(16)Jld. 42,07-7737953,publicew@yahoo.com,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Lori Rigid, Treler Dan Van Sahaja.",johor,Laku
43,ROBUILD SDN BHD,"No 109-7, Batu 1, Jalan Bakri, 84000 Muar, Johor D.T.",BKA654J030J066,3-April-24,A,(14)Jld. 42,06-9525781,robuildsdnbhd@hotmail.com,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.",johor,Laku
44,SANJUNG SENTOSA SDN BHD.,"No 2B, PLO 224, Jalan Wawasan 2, Kawasan Perinsutrian Sri Gading, 83300 Batu Pahat, Johor Darul Takzim.",BKA654J063J064,26-Sep-22,A,(20)Jld. 36,07-4341104,N/A,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Decontrolled, Treler Dan Tanker Sahaja.",johor,Laku
45,SCUDAI LORRY BODY FACTORY,"Lot 2596, Jalan Besar (KM 12), Jalan Seelong, Kg Seelong Jaya,81300 Skudai, Johor",BKA642J031J049,24-Jun-16,A,(20)JLD. 124,016-7221626,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
2. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.",johor,Tamat
46,SENG ENGINEERING,"Lot 4003, LBR Pasir Gudang, Taman Perindustrian Gembira,81200 Johor Bahru, Johor",BKA654J032J054,2-May-21,B,(04) JLD.9,07-3332942,seng-engineering@yahoo.com,RAZALIONE CONSULTING ENGINEER,IR. WAN SAPIANSORI B WAN ABD GHANI,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",johor,Tamat
47,SIME DARBY TMA SDN BHD,"PLO 6, Jalan Gangsa, P.O. Box 73, 81707 Pasir Gudang, Johor",BKA642J033J049,14-Oct-14,A,(18)Jld. 107,,,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,,johor,Tamat
48,SOON HUP MOTOR WORKS SDN BHD.,"Lot 3990, Jalan Riang 21/3, Taman Gembira, 81200 Johor Bahru, Johor",BKA642J034J049,25-Apr-19,A,(22) JLD.150,013-7391972,,RNACV CONSULTANT,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Van Sahaja.
2. Membina Treler/Tanker Baru, Membuat kerja-Kerja Pembaikan Dan Pengubahsuaian Bagi Semua Treler/Tanker tersebut Sahaja.",johor,Tamat
49,SOON SIN MOTOR TRADING,"Lot 636 Batu 1 1/2 , Jalan Pegerai, 83000 Batu Pahat, Johor D.T.",BKA642J035J049,11-Mac-12,B,,,,,,,johor,Tamat
50,SPIRAL PRODUCTS SDN BHD,"No. 5, Jalan Masai Lama, Kawasan Perindustrian Kota Putra 1, 81750 Masai, Johor Darul Takzim.",BKA654J052J052,7-Jan-20,A,(06)Jld. 16,07-3805281,amin@spiralproducts.com.my,AAREC CONSULTANT,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",johor,Tamat
51,SUARA KEKAL SDN BHD,"PLO 703, Jalan Nikel 3, Zone 12C, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor.",BKA654J036J059,3-Jan-23,A,(26)Jld. 28,019-7107397,suarakekal@yahoo.com,MENARA TEKNIK,IR. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVIT:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan  Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",johor,Laku
52,SUARA KEKAL SDN BHD,"No 15 Jalan Cenderai 6, Taman Perindustrian Kota Puteri, 81750 Masai, Johor d.T.",BKA642J037J049,28-Jul-13,A,(10)Jld.93,,,PHYTO MEGHAZ CONSULT,MEJAR IR. MOHD GHAZALI ABDULLAH,,johor,Tamat
53,SUM HUP WORKSHOP,"JJ 31, Lot 1031, Jalan Jorak Batu Pasir, 84300 Muar, Johor.",BKA654J038J059,1-Nov-22,A,(18)JLD. 26,06-9850622,sumhupworkshop@yahoo.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van, Refrigerated dan Bas Sahaja.",johor,Laku
54,SUPPORTRANS SDN. BHD.,"Plo 178, Jalan Angkasa Mas 6,Kawasan Perindustrian Tebrau II,81100 Johor Bahru, Johor",BKA654J039J062,6-Apr-23,A,(28)Jld.31,07-3553433,sptrans@supportrans.com,DESATIC ENGINEERING SERVICE,IR. CHOW SEI YING,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",johor,Laku
